epoch,train_loss,test_acc
1,1.091402622439977,72.38
2,0.7926077415876072,76.64
3,0.7008890940252778,73.42
4,0.6570224451744343,78.86
5,0.6116699449089177,78.72
6,0.5849259488113091,79.93
7,0.5602773382230792,81.8
8,0.541431267624316,81.74
9,0.5163394690627028,80.95
10,0.5038389583377887,80.11
11,0.48762600638372516,82.81
12,0.4715435805223177,82.04
13,0.46834935297441604,83.13
14,0.4728037382635619,82.18
15,0.4452788371716619,83.93
16,0.4276603722892454,83.79
17,0.4236195357254399,83.72
18,0.4162820915279486,83.89
19,0.3989756475476658,83.25
20,0.4071204098289275,83.96
21,0.3938678427959037,84.55
22,0.38336555404431377,84.2
23,0.3897722600899694,84.74
24,0.37859332443350724,83.54
25,0.3643095010076947,85.08
26,0.35637368692461485,84.47
27,0.356200408752617,84.5
28,0.3585597878069524,84.63
29,0.34884440418704393,85.28
30,0.3387405355187023,84.32
31,0.34303027448599294,84.1
32,0.3414483712152447,84.2
33,0.338304672285419,84.33
34,0.32461379018738445,85.05
35,0.3214332538721202,81.71
36,0.3212874580527206,84.81
37,0.31426570909407436,85.5
38,0.3140814248329538,83.66
39,0.31559325529791205,84.34
40,0.30460874804907745,85.48
41,0.30391361063246225,84.96
42,0.2989163743641675,84.96
43,0.30844766497993104,84.15
44,0.305413857292946,84.56
45,0.29282053116032536,84.94
46,0.29000597555771507,84.81
47,0.28849999835271667,83.58
48,0.29103090692206723,84.4
49,0.2945229213332276,85.45
50,0.283110585416217,84.88
