epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.3029,1.99734,0.4853,0.9349,1.47732,0.00997442,0.00332481,0.00997442,0.00332481,0.00997442,0.00332481,0.00997442,0.00332481
2,183.426,1.49131,0.6001,0.9578,1.19915,0.0195789,0.00652631,0.0195789,0.00652631,0.0195789,0.00652631,0.0195789,0.00652631
3,275.369,1.37887,0.6269,0.9673,1.16532,0.0287874,0.00959581,0.0287874,0.00959581,0.0287874,0.00959581,0.0287874,0.00959581
4,365.648,1.24377,0.6732,0.9726,0.99413,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,456.236,1.0856,0.7067,0.9765,0.84945,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,546.111,1.01822,0.7404,0.9823,0.76708,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,635.5,0.97772,0.7409,0.9818,0.75676,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,728.715,0.94229,0.743,0.9843,0.74032,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,820.027,0.91789,0.7524,0.9858,0.72928,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,907.467,0.90863,0.7607,0.9835,0.70527,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,999.514,0.89637,0.7529,0.9846,0.72421,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1089.51,0.87402,0.7749,0.9893,0.65304,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1179.86,0.86744,0.7696,0.9864,0.66443,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1273.59,0.85907,0.7863,0.9871,0.63324,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1363.97,0.85028,0.7802,0.987,0.6373,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1454.37,0.84038,0.7899,0.9875,0.62129,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1543.1,0.83707,0.7866,0.9876,0.64359,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1632.73,0.82242,0.7822,0.985,0.6385,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1721.99,0.81442,0.7968,0.987,0.59084,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1810.99,0.81377,0.7921,0.9891,0.60676,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1903.97,0.80995,0.8011,0.9884,0.58544,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
