epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1995.29,0.80955,0.8002,0.9874,0.5828,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2083.88,0.79918,0.8054,0.989,0.57748,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2172.67,0.79208,0.8041,0.9902,0.56633,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2261.45,0.77617,0.8078,0.9898,0.56154,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2347.61,0.78185,0.8099,0.9898,0.55741,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2433.54,0.77094,0.8129,0.9904,0.55245,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2522.19,0.76679,0.8132,0.9902,0.53668,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,2612.47,0.75897,0.8153,0.9903,0.53666,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,2704.02,0.74446,0.815,0.9907,0.53295,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,2793.31,0.74373,0.8183,0.9908,0.53912,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,2885.88,0.7408,0.8213,0.9905,0.52635,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,2976.6,0.72727,0.8234,0.9907,0.51984,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3065.5,0.72008,0.8242,0.9896,0.5058,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3154.67,0.70981,0.8238,0.9912,0.50445,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3246.12,0.70249,0.8237,0.9909,0.51699,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3339.43,0.69364,0.8264,0.9914,0.50269,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3430.95,0.68948,0.8267,0.9914,0.5011,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,3521.82,0.67233,0.8278,0.9915,0.50645,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,3615.55,0.66712,0.8273,0.9918,0.51337,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,3709.41,0.65085,0.829,0.9924,0.49323,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,3802.06,0.63616,0.8299,0.9923,0.50084,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,3892.49,0.63912,0.8302,0.9924,0.49607,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,3983.2,0.61916,0.8317,0.9922,0.48959,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4075.11,0.61136,0.8309,0.9919,0.49271,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4167.69,0.59414,0.8312,0.9921,0.48429,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4258.14,0.59563,0.8319,0.9921,0.48256,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,4351.91,0.58196,0.8334,0.9918,0.493,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,4442.75,0.56733,0.8338,0.9919,0.49246,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,4531.78,0.56035,0.8333,0.9918,0.48333,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
